time,condition4,
0,0.5847449115896659,
1,0.6159269763133314,
2,0.6061973570056931,
3,0.6140048462721952,
4,0.6136575552861939,
5,0.6084021145531789,
6,0.6045500666851086,
7,0.6002650800573769,
8,0.598934690088538,
9,0.6023629541880008,
10,0.6028250864540788,
11,0.6034433497454252,
12,0.6016988079306372,
13,0.6031610317154068,
14,0.6020419945789195,
15,0.6030188612269111,
16,0.5998903484254979,
17,0.6019925160169937,
18,0.6028269079891398,
19,0.6018056018852049,
20,0.601147655183403,
21,0.6019847054022207,
22,0.6005708154544371,
23,0.6026290337802543,
24,0.6047141771154404,
25,0.6091088162088653,
26,0.6143106216727817,
27,0.6203186466466356,
28,0.6284054954686422,
29,0.6369912303357091,
30,0.6452994247646707,
31,0.6531409123407976,
32,0.6608074220158846,
33,0.6672839774151603,
34,0.6737564020755835,
35,0.6773953195989596,
36,0.6792613685175499,
37,0.679411598147179,
38,0.6846611220234121,
39,0.6876661209853515,
40,0.6899581047900811,
41,0.699563632420712,
42,0.6961395597728381,
43,0.6858400710570614,
