PARAMETERS
Profile,experiment-1
Runs,50
Agent count,500
# teams,10
# trustor per team,50
Team size,20
Team lifetime,5
Noise feature count,6
Recency half-life,50
Temperature,0.2
Maximum rep. queries,20

AGENT PROFILES
name,mean,st.dev,count,features
p1,0.9,0.05,100,f6:1.0 nf4:0.07079315597040292 nf5:0.7906191215222254 nf2:0.3573984371818977 nf3:0.9572056064996757 nf0:0.4495335517724409 nf1:0.11386924048808811 f1:1.0 f3:0.0 f2:0.0 f5:0.0 f4:0.0 
p2,0.6,0.15,100,f6:0.0 nf4:0.07079315597040292 nf5:0.7906191215222254 nf2:0.3573984371818977 nf3:0.9572056064996757 nf0:0.4495335517724409 nf1:0.11386924048808811 f1:0.0 f3:0.0 f2:1.0 f5:0.0 f4:1.0 
p3,0.4,0.15,100,f6:0.0 nf4:0.07079315597040292 nf5:0.7906191215222254 nf2:0.3573984371818977 nf3:0.9572056064996757 nf0:0.4495335517724409 nf1:0.11386924048808811 f1:0.0 f3:1.0 f2:0.0 f5:0.0 f4:1.0 
p4,0.3,0.1,100,f6:0.0 nf4:0.07079315597040292 nf5:0.7906191215222254 nf2:0.3573984371818977 nf3:0.9572056064996757 nf0:0.4495335517724409 nf1:0.11386924048808811 f1:0.0 f3:1.0 f2:1.0 f5:1.0 f4:0.0 
p5,0.0,1.0,100,f6:1.0 nf4:0.07079315597040292 nf5:0.7906191215222254 nf2:0.3573984371818977 nf3:0.9572056064996757 nf0:0.4495335517724409 nf1:0.11386924048808811 f1:0.0 f3:1.0 f2:1.0 f5:0.0 f4:0.0 

time,condition4,
0,1.0,
1,1.0,
2,1.0,
3,1.0,
4,1.0,
5,1.0,
6,1.0,
7,1.0,
8,1.0,
9,1.0,
10,1.0,
11,0.8333333333333334,
12,0.6923076923076923,
13,0.7142857142857143,
14,0.7333333333333333,
15,0.625,
16,0.6470588235294118,
17,0.6666666666666666,
18,0.6842105263157895,
19,0.7,
20,0.7142857142857143,
21,0.6363636363636364,
22,0.5652173913043478,
23,0.5833333333333334,
24,0.6,
25,0.6153846153846154,
26,0.6296296296296297,
27,0.6428571428571429,
28,0.6551724137931034,
29,0.6666666666666666,
30,0.6774193548387096,
31,0.6875,
32,0.696969696969697,
33,0.7058823529411765,
34,0.7142857142857143,
35,0.7222222222222222,
36,0.7297297297297297,
