time,condition4,
0,0.8818848418945606,
1,0.891015365474181,
2,0.8914662739115304,
3,0.892979848268876,
4,0.8950980460226892,
5,0.8957858883161027,
6,0.8982117044411554,
7,0.8975473457696179,
8,0.8960806283707278,
9,0.8979719674977876,
10,0.898340576613522,
11,0.8982509710931101,
12,0.8988359716231007,
13,0.8986253816860945,
14,0.8995204829942068,
15,0.8991774317829615,
16,0.8992411079604444,
17,0.89834871793603,
18,0.8988536296973523,
19,0.8990031753223277,
20,0.8989674522921376,
21,0.8992765525294977,
22,0.8994322937432051,
23,0.8993981694610462,
24,0.8995405960586679,
25,0.8991804476464593,
26,0.899491947106722,
27,0.8991121725126544,
28,0.8990825369642337,
29,0.8990473666502388,
30,0.8988071806765796,
31,0.8986264009734282,
32,0.8987375719664317,
33,0.898742718560823,
34,0.8985012031906406,
35,0.8986432068884791,
36,0.8992190332935874,
37,0.8995102321910794,
38,0.8996449719850985,
39,0.8996683925903777,
40,0.9001811465546048,
41,0.8978335991360998,
42,0.8959780871666319,
