time,condition1,
0,0.8871347878207252,
1,0.8923537641408213,
2,0.895407470076936,
3,0.891085551235002,
4,0.8937456877243166,
5,0.8937790118470587,
6,0.8957188714228286,
7,0.8964259995263726,
8,0.8973275418520431,
9,0.898502750975829,
10,0.8969217163865238,
11,0.8976989883596153,
12,0.8982581082110803,
13,0.8979068499427408,
14,0.8986701370888475,
15,0.8995573869429455,
16,0.8994583040168166,
17,0.8993699592902218,
18,0.8995585371743762,
19,0.8996300173242691,
20,0.8992066591773749,
21,0.8984919486130729,
22,0.898374918058776,
23,0.8989305648708888,
24,0.8993588844184959,
25,0.8994885103883634,
26,0.899523178564062,
27,0.8995080027702618,
28,0.8996049620434706,
29,0.8991787018250628,
30,0.8989852938779569,
31,0.8987906362637029,
32,0.8991828595587684,
33,0.8989192140085843,
34,0.8990813367597826,
35,0.8991448961531922,
36,0.8992376835544309,
37,0.8990091680287938,
38,0.898903508633798,
39,0.898821965524224,
40,0.8990106044407874,
41,0.8991003917684036,
42,0.8993055558638878,
43,0.8993711296327465,
44,0.8991270851523498,
45,0.8992085801391522,
46,0.8993355743832134,
47,0.8996238073452383,
48,0.8995310999361652,
49,0.8995231347261362,
50,0.8998343168913765,
51,0.8997833900737753,
52,0.8997739481825846,
53,0.899860373966306,
54,0.8997902776130237,
55,0.8998159878566021,
56,0.8997965493389402,
57,0.8999329904346411,
58,0.8998495399232005,
59,0.8999771095085578,
60,0.8998265959803553,
61,0.8998993252380514,
62,0.8998993487139952,
63,0.8997501886458772,
64,0.8996001262638356,
65,0.899627810316274,
66,0.8995991036293317,
67,0.8994843649914509,
68,0.8994639102244179,
69,0.8994590799922706,
70,0.8993326133978017,
71,0.899076756625233,
72,0.8990816514708212,
73,0.899031341551461,
74,0.8991085918014909,
75,0.8991126330177862,
76,0.8991701984780882,
77,0.8991859268337273,
78,0.8993461436170077,
79,0.8993306625580594,
80,0.8993617452939209,
81,0.8994506778914263,
82,0.899404382784596,
83,0.899275496432331,
84,0.8993957044968003,
85,0.8993322712397319,
86,0.8993181474815498,
87,0.899352140917065,
88,0.8993121028413091,
89,0.8992647016769656,
90,0.899177558839783,
91,0.8991848675935773,
92,0.8991882552481794,
93,0.8992931681761237,
94,0.8992973864134237,
95,0.8993338999828586,
96,0.8993945951451207,
97,0.8995059320265297,
